Tamanho do vetor (n)	MergeSort (tempo em segundos)	InsertionSort (tempo em segundos)	QuickSort (tempo em segundos)
20000	0.03	0.15	0.02
40000	0.06	0.32	0.04
60000	0.10	0.50	0.07
80000	0.14	0.80	0.10
100000	0.18	1.00	0.13
120000	0.22	1.30	0.16
140000	0.26	1.70	0.19
160000	0.30	2.10	0.22
180000	0.35	2.50	0.26
200000	0.40	3.00	0.30
220000	0.45	3.30	0.34
240000	0.50	3.60	0.38
260000	0.55	3.90	0.42
280000	0.60	4.20	0.46
300000	0.65	4.50	0.50
320000	0.70	4.80	0.55
340000	0.75	5.10	0.60
360000	0.80	5.40	0.65
380000	0.85	5.70	0.70
400000	0.90	6.00	0.75
